id,name,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,wine_category,taste_group,is_organic,bottled_volume,packaging_closing,container_type,category,sub_category,price,inventory,is_on_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
22034,Due Passi Appassimento,ítalía,,,,13.0,cabernet sauvignon,01MM,f,3000.0,,box,red,,5999.0,21,f,f,f,2015-04-01,t,f
22035,Coste Carezzi Parziale Appassimento,ítalía,veneto,veneto,2013,14.0,merlot,01M,f,750.0,korkur,flaska,red,,1999.0,0,f,f,f,2015-04-01,t,f
22036,Coste Carezzi Parziale Appassimento,ítalía,veneto,veneto,,14.0,merlot,01M,f,3000.0,vitop,box,red,,6599.0,32,f,f,f,2016-02-01,t,f
22037,La Meseta Parra Airen Sauvignon Blanc,spánn,castilla l,la mancha,2013,11.0,airen,02L,t,750.0,korkur,flaska,white,,1999.0,0,f,f,f,2015-04-01,t,f
22043,Earthbound Sauvignon Blanc Organic & Fairtrade,suðurafríka,,groenekloof,2014,13.5,sauvignon blanc,02L,t,750.0,skruf,flaska,white,,3289.0,0,f,f,f,2015-06-01,t,f
22044,Earthbound Cabernet Sauvignon Organic & Fairtrade,suðurafríka,,groenekloof,2012,14.5,cabernet sauvignon,01M,t,750.0,skruf,flaska,red,,3489.0,0,f,f,f,2015-06-01,t,f
22045,Sherwood Apple Cider,eistland,,,,4.5,,,f,330.0,crown,flaska,cidersoda,cider,262.0,0,f,f,f,2015-08-01,t,f
22047,Old Speckled Hen,stórabretland,,,,5.0,,61ÖL,f,355.0,crown,flaska,beer,,499.0,0,f,f,f,2015-05-01,t,f
22048,Bolla Bardolino Chiaretto,ítalía,veneto,bardolino,2013,11.5,corvina,03,f,375.0,korkur,flaska,rose,,1015.0,18,f,f,f,2015-04-01,t,f
22049,Les Dauphins Reserve hvítt,frakkland,rhone,cotes-du-rhone,2014,12.5,,02M,f,750.0,plast,flaska,white,,1930.0,12,f,f,f,2015-05-01,t,f
22050,Les Dauphins Reserve rautt,frakkland,rhone,cotes-du-rhone,2013,13.0,grenache,01M,f,750.0,plast,flaska,red,,1940.0,56,f,f,f,2016-03-01,t,f
22051,Pfaff Blanc de Blancs Brut Cremant d'Alsace,frakkland,alsace,alsace ac,,12.0,pinot blanc,04,f,750.0,f-korkur,flaska,bubbly,,2690.0,36,f,f,f,2015-04-01,t,f
22054,Best of Belgium 6x33 cl í gjafaöskju,belgía,,,,5.5,,,f,1980.0,crown,askja,beer,,2359.0,0,f,f,f,2015-05-01,t,t
22055,Somersby Citrus,danmörk,,,,4.5,,,f,500.0,,dós,cidersoda,cider,399.0,383,f,f,f,2015-08-01,t,f
22056,Kona Longboard,bandaríkin,,,,4.6,,60LL,f,355.0,crown,flaska,beer,,428.0,384,f,f,f,2015-05-01,t,f
22057,Charles Ellner Brut,frakkland,champagne,champagne,,12.0,,04,f,750.0,f-korkur,flaska,bubbly,,4297.0,180,f,f,f,2015-10-01,t,f
22058,Dom Potier Demi Sec,spánn,,cava,,11.5,,04M,f,750.0,f-korkur,flaska,bubbly,,1498.0,12,f,f,f,2015-05-01,t,f
22059,Dom Potier Brut Nature,spánn,,cava,,11.5,,04,f,750.0,f-korkur,flaska,bubbly,,1498.0,6,f,f,f,2015-05-01,t,f
22060,Beronia Rueda Verdejo,spánn,castilla y,rueda,2014,13.0,verdejo,02M,f,750.0,skruf,flaska,white,,1999.0,12,f,f,f,2015-05-01,t,f
22061,Yellow Tail Jammy Red Roo,ástralía,,south eastern australia,,12.0,,01LM,f,750.0,skruf,flaska,red,,1898.0,32,f,f,f,2015-06-01,t,f
22062,Placido Montepulciano d'Abruzzo,ítalía,abruzzo,abruzzo,2013,12.0,montepulciano,01L,f,750.0,skruf,flaska,red,,1699.0,36,f,f,f,2015-05-01,t,f
22063,Hugel Riesling,frakkland,alsace,alsace ac,2013,12.5,riesling,02L,f,375.0,stkork-d,flaska,white,,1498.0,12,f,f,f,2015-06-01,t,f
22064,Flóki Icelandic Young Malt,ísland,,,,47.0,,,f,500.0,tkorkur,flaska,strong,whisky,9690.0,20,f,f,f,2015-09-01,t,f
22065,Jean Leon 3055 Merlot Petit Verdot Organic,spánn,catalunya,penedes,2014,14.0,merlot,01M,t,750.0,korkur,flaska,red,,2890.0,18,f,f,f,2015-05-01,t,f
22066,Jean Leon 3055 Chardonnay Organic,spánn,catalunya,penedes,2014,13.0,chardonnay,02M,t,750.0,korkur,flaska,white,,2790.0,6,f,f,f,2015-05-01,t,f
22067,Calmel Joseph Saint Chinian,frakkland,languedoc-,saint-chinian,2012,14.0,carignan,01M,f,750.0,korkur,flaska,red,,2695.0,0,f,f,f,2015-05-01,t,f
22069,Nektar,bosníaherzegóvína,,,,5.0,,60LL,f,330.0,crown,flaska,beer,,299.0,168,f,f,f,2015-04-01,t,f
22070,Cocchi Americano Aperitivo,ítalía,,,,16.5,,,f,750.0,plast,flaska,strong,bitterspice,5799.0,12,f,f,f,2015-06-01,t,f
22071,GSM Castano,spánn,murcia,yecla,2013,14.0,garnacha,01M,f,750.0,korkur,flaska,red,,2055.0,6,f,f,f,2015-05-01,t,f
22072,Monte Don Lucio Cabernet Sauvignon,spánn,castilla l,la mancha,2013,13.0,cabernet sauvignon,01M,f,750.0,korkur,flaska,red,,1565.0,36,f,f,f,2015-05-01,t,f
22073,Sarria Reserva,spánn,navarra,navarra,2009,14.0,cabernet sauvignon,01M,f,750.0,korkur,flaska,red,,2365.0,0,f,f,f,2016-03-01,t,f
22077,To Öl Thirsty Frontier,danmörk,,,,4.5,,61ÖL,f,330.0,crown,flaska,beer,,599.0,96,f,f,f,2015-04-01,t,f
22080,N'Ice Chouffe,belgía,,,,10.0,,61ÖL,f,330.0,crown,flaska,beer,,999.0,192,t,f,f,2015-11-01,t,f
22081,Arrow Chardonnay,bandaríkin,,kalifornía,,12.5,chardonnay,02M,f,2000.0,,box,white,,4199.0,8,f,f,f,2015-11-01,t,f
22082,Arrow Ruby Cabernet,bandaríkin,,kalifornía,,12.0,ruby cabernet,01LM,f,3000.0,,box,red,,5999.0,1,f,f,f,2015-11-01,t,f
22083,Zanni Valpolicella,ítalía,veneto,valpolicella,2014,12.0,corvina,01L,f,3000.0,,box,red,,6699.0,32,f,f,f,2015-11-01,t,f
22091,Kronenbourg Blanc,frakkland,,,,5.0,,62HV,f,330.0,crown,flaska,beer,,369.0,1752,f,f,f,2015-10-01,t,f
22092,Vinha da Defesa Arinto Antao Vaz Roupeiro,portúgal,,alentejo,2013,13.5,antao vaz,02M,f,750.0,korkur,flaska,white,,2899.0,24,f,f,f,2015-05-01,t,f
22093,Vinha da Defesa Touriga Nacional Syrah,portúgal,,alentejo,2012,14.5,syrah,01M,f,750.0,korkur,flaska,red,,2998.0,4,f,f,f,2015-05-01,t,f
22094,Hubert Sandhofer Blaufrankisch,austurríki,burgenland,burgenland,2012,13.0,blaufrankisch,01L,f,750.0,skruf,flaska,red,,2384.0,15,f,f,f,2015-05-01,t,f
22095,Esporao Quatro Castas rautt 4,portúgal,,alentejo,2010,14.5,alfrocheiro,01T,f,750.0,korkur,flaska,red,,3598.0,0,f,f,f,2015-05-01,t,f
22096,Esporao Duas Castas hvítt 2,portúgal,,alentejo,2013,13.5,gouveio,02M,f,750.0,korkur,flaska,white,,2998.0,23,f,f,f,2015-05-01,t,f
22097,Esporao Reserva,portúgal,,alentejo,2011,14.5,alicante bouchet,01T,f,750.0,korkur,flaska,red,,4416.0,12,f,f,f,2015-05-01,t,f
22099,Villa Maria Gimblett Gravels Cabernet Merlot Res.,nýjasjáland,,hawkes bay,2009,13.5,cabernet sauvignon,01M,f,750.0,skruf,flaska,red,,4890.0,12,f,f,f,2015-06-01,t,f
22100,Vina Cumbrero Crianza,spánn,,rioja,2010,13.5,tempranillo,01M,f,750.0,korkur,flaska,red,,1899.0,42,f,f,f,2016-01-01,t,f
