id,name,supplier,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,grape,taste_group,is_organic,bottled_volume,seal,container,category,sub_category,goes_with,price,is_temp_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
17677,Two Oceans Pinot Grigio,Globus hf,suðurafríka,,western cape,2014,12.0,pinot grigio,02L,false,750.0,skrúftappi,flaska,white,,"{C,M,P,Y}",1599,false,false,false,2015-06-01,true,false
17685,Vicar's Choice Sauvignon Blanc,Haugen-Gruppen ehf.,nýjasjáland,,marlborough,2013,12.5,sauvignon blanc,02M,false,375.0,skrúftappi,flaska,white,,"{4,B,C,L,Y}",1499,false,false,false,2013-09-01,true,false
17687,Portal Fine Ruby,Haugen-Gruppen ehf.,portúgal,,,,19.0,,,false,750.0,,flaska,fortified,port,{},4149,false,true,false,2010-04-01,false,false
177,Masi Campofiorin,Ölgerðin Egill Skallagríms ehf,ítalía,veneto,veronese,2012,13.0,corvina,01M,false,750.0,korkur,flaska,red,,"{E,H,L,T,Æ}",2689,false,false,false,1999-04-01,true,false
17700,Ísafold Gin,Ölgerðin Egill Skallagríms ehf,ísland,,,,37.5,,,false,500.0,skrúftappi,peli,strong,gin,{},3849,false,false,false,2010-06-01,true,false
17703,Canepa Classico Merlot,Haugen-Gruppen ehf.,chile,valledecen,valle central,2013,12.0,merlot,01L,false,750.0,skrúftappi,flaska,red,,"{3,D,M,P,Y}",1549,false,false,false,2016-01-01,true,false
17710,Long John Special Reserve,Mekka Wines & Spirits hf,stórabretland,skotland,skotland,,40.0,,,false,1000.0,skrúftappi,flaska,strong,whisky,{},7999,false,false,false,2011-03-01,true,false
17717,Solar de Carrion Tempranillo,HOB-vín ehf,spánn,,rioja,,13.0,tempranillo,01L,false,750.0,korkur,flaska,red,,"{D,G,M,Y}",1299,false,false,false,2015-12-01,true,false
17719,Torres Altos Ibericos Crianza,Karl K. Karlsson ehf.,spánn,,rioja,2013,13.5,tempranillo,01M,false,750.0,korkur,flaska,red,,"{1,2,F,L,Æ}",2345,false,false,false,2011-01-01,true,false
1772,Seizoen Bretta,Járn og gler hf,bandaríkin,,,,8.0,,61ÖL,true,750.0,crown,flaska,beer,,{},2476,false,false,false,2015-10-01,true,false
17721,"Torres Natureo 0,5%",Karl K. Karlsson ehf.,spánn,,,2011,0.5,muscat,,false,750.0,korkur,flaska,other,,"{A,B,C,Y}",1057,false,false,false,2010-07-01,true,false
17727,Two Oceans Fresh & Fruity White,Globus hf,suðurafríka,,western cape,2015,13.0,,02M,false,750.0,skrúftappi,flaska,white,,"{C,L,M,P,Y}",1498,false,false,false,2013-10-01,true,false
17742,Don Opas Valdepenas rautt,HOB-vín ehf,spánn,castilla l,valdepenas,2012,12.0,tempranillo,01L,false,750.0,skrúftappi,flaska,red,,"{D,G,M,Y}",1319,false,false,false,2010-08-01,true,false
17748,Fischer Classic Gruner Veltliner,Haugen-Gruppen ehf.,austurríki,,thermenregion,2014,10.5,gruner veltliner,02L,true,750.0,skrúftappi,flaska,white,,"{B,C,I,Y}",1999,false,false,false,2013-02-01,true,false
17751,Joseph Mellot Pouilly Fume le Chant des Vignes,Rolf Johansen & Co ehf,frakkland,loire,pouilly-fumé,2014,12.5,sauvignon blanc,02M,false,750.0,skrúftappi,flaska,white,,"{4,B,C,M,Y}",3350,false,false,false,2015-10-01,true,false
17764,Baroncini Rosso di Montalcino Il Bosso,Era Trading ehf.,ítalía,toskana,montalcino,2012,14.5,sangiovese,01T,false,750.0,korkur,flaska,red,,"{E,F,H,T,Æ}",2799,false,false,false,2012-06-01,true,false
17768,Mont Marcal Semi Seco,Haugen-Gruppen ehf.,spánn,,cava,,11.4,xarel.lo,,false,750.0,,flaska,bubbly,,"{A,O,P,Y}",1966,false,true,false,2010-05-01,false,false
17782,Bitburger,Winehouse ehf,þýskaland,,,,4.8,,60LL,false,330.0,,dós,beer,,{},249,false,false,false,2015-06-01,true,false
17803,Ca'Rugate San Michele Soave Classico,Vín og matur ehf,ítalía,veneto,soave,2010,12.0,garganega,02L,false,750.0,korkur,flaska,white,,"{A,C,P,Y}",2566,false,false,false,2011-07-01,true,false
17822,Tuborg Green,Ölgerðin Egill Skallagríms ehf,litháen,,,,4.6,,60LL,false,330.0,crown,flaska,beer,,"{A,P}",274,false,false,false,2002-12-01,true,false
1783,Beringer Napa Valley Sauvignon Blanc,Ölgerðin Egill Skallagríms ehf,bandaríkin,northcoast,napa valley,2014,14.0,sauvignon blanc,02M,false,750.0,korkur,flaska,white,,"{B,C,I,P,Y}",3659,false,false,false,1999-05-03,true,false
17831,Mure Gewurztraminer Signature,Vífilfell hf.,frakkland,alsace,alsace ac,2013,13.0,gewurztraminer,02M,false,750.0,skrúftappi,flaska,white,,"{2,4,K,L,Y}",2599,false,false,false,2014-02-01,true,false
17838,Casillero del Diablo Pinot Grigio,Mekka Wines & Spirits hf,chile,,,2015,12.5,pinot grigio,02L,false,750.0,skrúftappi,flaska,white,,"{B,C,I,P,Y}",1850,false,false,false,2011-03-01,true,false
17841,Kientz Sylvaner Blienschwiller,Vínekran Bourgogne ehf,frakkland,alsace,alsace ac,2012,12.5,sylvaner,02M,false,750.0,korkur,flaska,white,,"{A,B,C,I,Y}",2389,false,false,false,2011-09-01,true,false
17845,Kientz Cremant d'Alsace Brut,Vínekran Bourgogne ehf,frakkland,alsace,alsace ac,,12.0,,04,false,750.0,korkur,flaska,bubbly,,"{A,B,O,P,Y}",2889,false,false,false,2013-02-01,true,false
17848,Domaine Clos de Causse,Vín og matur ehf,frakkland,languedoc-,minervois,2008,14.5,syrah,01M,false,750.0,,flaska,red,,"{E,F,H,S,Y}",2635,false,false,false,2012-10-01,true,false
17850,La Trappe Witte Trappist,Vín Tríó ehf,holland,,,,5.5,,62HV,false,330.0,crown,flaska,beer,,"{B,C,L,P}",453,false,false,false,2011-08-01,true,false
17890,Norðan Kaldi Öl,Bruggsmiðjan Kaldi ehf.,ísland,,,,5.4,,61ÖL,false,330.0,crown,flaska,beer,,"{D,G,R}",397,false,false,false,2010-07-01,true,false
